titles,category
알뜰폰 업계  아이폰   출시 앞두고 가입자 유치  경쟁 ,IT
 이스라엘 총공격  가자 지구  드론 띄워 봤더니,IT
손들고 서빙로봇 부르고  로봇청소기 문턱 넘나드네   에브리봇 신기술 적용한 제품 공개,IT
지구 온난화로 녹는 빙하보다 심각한      예산 삭감        국감 ,IT
이통 사     합산 영업익  조 돌파할 듯     분기 연속  조원  청신호,IT
처방전 하나에 식욕억제제    개 처방,IT
패스워드 없는 세상 더 빨라진다 구글  패스키 기본옵션 설정,IT
   대  명도   년 만기 특례보금자리론 받았다 ,IT
      국감      억 이태원 참사 대책 사업 회의록조차 없어  나눠 먹기 카르텔 ,IT
한화진 환경부 장관  후쿠시마 원전 오염수 영향 미미  재차 확인,IT
 전혀 아니다  잠깐만요  과감해진 이종호       논란  방어전,IT
최태원 회장  후계구도 생각 중 화웨이폰에     칩 탑재 미스터리 ,IT
 엔비디아 추격한다  미국 반도체 기업         스타트업 인수,IT
방심위  인터넷언론  뉴스타파  보도 첫 심의   의견진술 결정,IT
 뉴스줌인 삼성전자  반도체 가격 방어 효과      수익성 개선 속도 전망,IT
이종호  출연연  개선 필요   연구소 떠나는 사람은 개인문제 ,IT
지마켓   비발디파크       스키 시즌패스  단독 할인,IT
미래인재 발굴 나선 넥슨  불황에도  세자릿수  채용 ,IT
배터리 양극재서 리튬     회수해 재활용한다,IT
 국감      과방위      예산삭감  두고 공방 고성으로 끝낸 전반전,IT
잡음 많은 아이폰    이번에는 전원 꺼짐 현상,IT
 무빙 효과 이정도    디즈니플러스   월 사용자 수 가장 많이 늘었다,IT
 자동차 싣고 원하는 주차 구역으로 이동  현대위아  국내 첫  무인 주차 로봇  공개,IT
 서빙은 기본  주차도 로봇이    로보월드  킨텍스 개막,IT
폐지 거론된  게임시간 선택제     일괄 서비스 참가사  곳 제자리 걸음,IT
챗    하루 유지 비용만  억 원  내년 생성형    거품 빠질 것 ,IT
삼성 대한항공이 선택한 워크데이    삼성   와 협력해 고객 확대 ,IT
 거래소  테라 사태 이후  해외 코인  상장 집중 ,IT
수일 걸리던 디자인 작업을 수분 만에 뚝딱   어도비  저작권 해방된  이미지 생성    라인업  어도비 맥스      ,IT
 지옥의 수문장  케르베로스   고대 벽화 발견  핵잼 사이언스 ,IT
재미 감동 안겨준  스포츠  인기 스포츠 떠올랐다,IT
 써보고서   작고 귀여운데 성능은 쎄네  쿠첸        잔망루피 전기밥솥,IT
      년간   클라우드  조    억원 투자 생성형  도 지원 ,IT
   아시아  위   과학  역량 순위 하락     정부  장기적으로 봐야 ,IT
해외 출장 이유로 국감 호출 피해간 기업인들,IT
이종호 과기부 장관      예산 복원  국회서 논의할 수 있다 ,IT
